source,target,strength,connection_type,color_flow,time
light_d0_h0,light_d0_h1,2,temporal,negative,1
humidity_d0_h0,humidity_d0_h1,2,temporal,neutral,1
nutrients_d0_h0,nutrients_d0_h1,2,temporal,positive,1
nutrients_d0_h1,humidity_d0_h1,1.5,physiological,cross_sensor,1
air_quality_d0_h0,air_quality_d0_h1,2,temporal,positive,1
light_d0_h1,light_d0_h2,2,temporal,negative,2
light_d0_h2,light_d4_h2,1,radial_burst,time_echo,98
humidity_d0_h1,humidity_d0_h2,2,temporal,neutral,2
nutrients_d0_h1,nutrients_d0_h2,2,temporal,positive,2
nutrients_d0_h2,light_d0_h2,1.5,physiological,cross_sensor,2
air_quality_d0_h1,air_quality_d0_h2,2,temporal,positive,2
air_quality_d0_h2,air_quality_d2_h2,1,radial_burst,time_echo,50
light_d0_h2,light_d0_h3,2,temporal,negative,3
humidity_d0_h2,humidity_d0_h3,2,temporal,neutral,3
humidity_d0_h3,humidity_d5_h3,1,radial_burst,time_echo,123
nutrients_d0_h2,nutrients_d0_h3,2,temporal,positive,3
air_quality_d0_h2,air_quality_d0_h3,2,temporal,neutral,3
air_quality_d0_h3,air_quality_d5_h3,1,radial_burst,time_echo,123
light_d0_h3,light_d0_h4,2,temporal,negative,4
humidity_d0_h3,humidity_d0_h4,2,temporal,neutral,4
nutrients_d0_h3,nutrients_d0_h4,2,temporal,positive,4
nutrients_d0_h4,nutrients_d5_h4,1,radial_burst,time_echo,124
air_quality_d0_h3,air_quality_d0_h4,2,temporal,negative,4
air_quality_d0_h4,air_quality_d1_h4,1,radial_burst,time_echo,28
light_d0_h4,light_d0_h5,2,temporal,negative,5
light_d0_h5,light_d5_h5,1,radial_burst,time_echo,125
humidity_d0_h4,humidity_d0_h5,2,temporal,positive,5
nutrients_d0_h4,nutrients_d0_h5,2,temporal,positive,5
nutrients_d0_h5,nutrients_d2_h5,1,radial_burst,time_echo,53
air_quality_d0_h4,air_quality_d0_h5,2,temporal,positive,5
air_quality_d0_h5,air_quality_d3_h5,1,radial_burst,time_echo,77
light_d0_h5,light_d0_h6,2,temporal,neutral,6
humidity_d0_h5,humidity_d0_h6,2,temporal,positive,6
nutrients_d0_h5,nutrients_d0_h6,2,temporal,positive,6
air_quality_d0_h5,air_quality_d0_h6,2,temporal,positive,6
air_quality_d0_h6,air_quality_d5_h6,1,radial_burst,time_echo,126
light_d0_h6,light_d0_h7,2,temporal,neutral,7
light_d0_h7,light_d4_h7,1,radial_burst,time_echo,103
humidity_d0_h6,humidity_d0_h7,2,temporal,neutral,7
nutrients_d0_h6,nutrients_d0_h7,2,temporal,positive,7
air_quality_d0_h6,air_quality_d0_h7,2,temporal,neutral,7
light_d0_h7,light_d0_h8,2,temporal,neutral,8
humidity_d0_h7,humidity_d0_h8,2,temporal,neutral,8
nutrients_d0_h7,nutrients_d0_h8,2,temporal,positive,8
air_quality_d0_h7,air_quality_d0_h8,2,temporal,positive,8
air_quality_d0_h8,air_quality_d3_h8,1,radial_burst,time_echo,80
light_d0_h8,light_d0_h9,2,temporal,neutral,9
humidity_d0_h8,humidity_d0_h9,2,temporal,neutral,9
nutrients_d0_h8,nutrients_d0_h9,2,temporal,positive,9
nutrients_d0_h9,nutrients_d1_h9,1,radial_burst,time_echo,33
air_quality_d0_h8,air_quality_d0_h9,2,temporal,neutral,9
air_quality_d0_h9,air_quality_d1_h9,1,radial_burst,time_echo,33
light_d0_h9,light_d0_h10,2,temporal,neutral,10
light_d0_h10,light_d5_h10,1,radial_burst,time_echo,130
humidity_d0_h9,humidity_d0_h10,2,temporal,neutral,10
humidity_d0_h10,humidity_d2_h10,1,radial_burst,time_echo,58
nutrients_d0_h9,nutrients_d0_h10,2,temporal,positive,10
air_quality_d0_h9,air_quality_d0_h10,2,temporal,positive,10
air_quality_d0_h10,humidity_d0_h10,1.5,physiological,cross_sensor,10
air_quality_d0_h10,air_quality_d5_h10,1,radial_burst,time_echo,130
light_d0_h10,light_d0_h11,2,temporal,neutral,11
light_d0_h11,light_d4_h11,1,radial_burst,time_echo,107
humidity_d0_h10,humidity_d0_h11,2,temporal,neutral,11
nutrients_d0_h10,nutrients_d0_h11,2,temporal,neutral,11
nutrients_d0_h11,nutrients_d4_h11,1,radial_burst,time_echo,107
air_quality_d0_h10,air_quality_d0_h11,2,temporal,neutral,11
light_d0_h11,light_d0_h12,2,temporal,neutral,12
humidity_d0_h11,humidity_d0_h12,2,temporal,neutral,12
humidity_d0_h12,humidity_d5_h12,1,radial_burst,time_echo,132
nutrients_d0_h11,nutrients_d0_h12,2,temporal,neutral,12
air_quality_d0_h11,air_quality_d0_h12,2,temporal,neutral,12
air_quality_d0_h12,air_quality_d4_h12,1,radial_burst,time_echo,108
light_d0_h12,light_d0_h13,2,temporal,neutral,13
light_d0_h13,humidity_d0_h13,1.5,physiological,cross_sensor,13
light_d0_h13,light_d5_h13,1,radial_burst,time_echo,133
humidity_d0_h12,humidity_d0_h13,2,temporal,neutral,13
humidity_d0_h13,humidity_d2_h13,1,radial_burst,time_echo,61
nutrients_d0_h12,nutrients_d0_h13,2,temporal,positive,13
air_quality_d0_h12,air_quality_d0_h13,2,temporal,neutral,13
light_d0_h13,light_d0_h14,2,temporal,neutral,14
humidity_d0_h13,humidity_d0_h14,2,temporal,neutral,14
nutrients_d0_h13,nutrients_d0_h14,2,temporal,positive,14
air_quality_d0_h13,air_quality_d0_h14,2,temporal,positive,14
air_quality_d0_h14,air_quality_d1_h14,1,radial_burst,time_echo,38
light_d0_h14,light_d0_h15,2,temporal,neutral,15
light_d0_h15,nutrients_d0_h15,1.5,physiological,cross_sensor,15
light_d0_h15,light_d2_h15,1,radial_burst,time_echo,63
humidity_d0_h14,humidity_d0_h15,2,temporal,neutral,15
humidity_d0_h15,humidity_d2_h15,1,radial_burst,time_echo,63
nutrients_d0_h14,nutrients_d0_h15,2,temporal,positive,15
air_quality_d0_h14,air_quality_d0_h15,2,temporal,positive,15
air_quality_d0_h15,air_quality_d2_h15,1,radial_burst,time_echo,63
light_d0_h15,light_d0_h16,2,temporal,neutral,16
humidity_d0_h15,humidity_d0_h16,2,temporal,positive,16
nutrients_d0_h15,nutrients_d0_h16,2,temporal,neutral,16
air_quality_d0_h15,air_quality_d0_h16,2,temporal,positive,16
light_d0_h16,light_d0_h17,2,temporal,neutral,17
humidity_d0_h16,humidity_d0_h17,2,temporal,neutral,17
humidity_d0_h17,air_quality_d0_h17,1.5,physiological,cross_sensor,17
nutrients_d0_h16,nutrients_d0_h17,2,temporal,neutral,17
air_quality_d0_h16,air_quality_d0_h17,2,temporal,neutral,17
air_quality_d0_h17,air_quality_d2_h17,1,radial_burst,time_echo,65
light_d0_h17,light_d0_h18,2,temporal,neutral,18
light_d0_h18,light_d5_h18,1,radial_burst,time_echo,138
humidity_d0_h17,humidity_d0_h18,2,temporal,neutral,18
nutrients_d0_h17,nutrients_d0_h18,2,temporal,positive,18
air_quality_d0_h17,air_quality_d0_h18,2,temporal,positive,18
light_d0_h18,light_d0_h19,2,temporal,negative,19
humidity_d0_h18,humidity_d0_h19,2,temporal,positive,19
humidity_d0_h19,humidity_d4_h19,1,radial_burst,time_echo,115
nutrients_d0_h18,nutrients_d0_h19,2,temporal,positive,19
air_quality_d0_h18,air_quality_d0_h19,2,temporal,neutral,19
light_d0_h19,light_d0_h20,2,temporal,negative,20
humidity_d0_h19,humidity_d0_h20,2,temporal,positive,20
nutrients_d0_h19,nutrients_d0_h20,2,temporal,positive,20
nutrients_d0_h20,nutrients_d1_h20,1,radial_burst,time_echo,44
air_quality_d0_h19,air_quality_d0_h20,2,temporal,positive,20
light_d0_h20,light_d0_h21,2,temporal,negative,21
