id,sensor,reading,emotional_state,color,size,x,y,distance_from_center,branch_angle,time_index
light_d0_h0,light,40.0,critical,#DC143C,6.1,18.3,0.0,18.3,0.000,0
humidity_d0_h0,humidity,73.4,stable,#20B2AA,7.4,0.0,18.8,18.8,1.571,0
nutrients_d0_h0,nutrients,1090.7,thriving,#00FF7F,6.9,-26.8,0.0,26.8,3.142,0
air_quality_d0_h0,air_quality,17.1,stable,#C71585,7.4,-0.0,-14.4,14.4,4.712,0
light_d0_h1,light,40.0,critical,#DC143C,9.8,30.8,1.0,30.8,0.031,1
humidity_d0_h1,humidity,73.2,stable,#20B2AA,9.2,-1.0,30.2,30.3,1.602,1
nutrients_d0_h1,nutrients,1109.2,thriving,#00FF7F,7.2,-17.3,-0.5,17.4,3.173,1
air_quality_d0_h1,air_quality,11.1,thriving,#FF69B4,9.6,0.7,-22.9,22.9,4.744,1
light_d0_h2,light,40.0,critical,#DC143C,8.9,19.5,1.2,19.6,0.063,2
humidity_d0_h2,humidity,69.3,stable,#20B2AA,7.2,-1.8,29.1,29.1,1.634,2
nutrients_d0_h2,nutrients,1096.0,thriving,#00FF7F,7.0,-31.1,-2.0,31.1,3.204,2
air_quality_d0_h2,air_quality,12.3,thriving,#FF69B4,8.0,1.2,-18.5,18.5,4.775,2
light_d0_h3,light,40.0,critical,#DC143C,9.2,20.0,1.9,20.1,0.094,3
humidity_d0_h3,humidity,71.0,stable,#20B2AA,7.7,-3.2,33.9,34.1,1.665,3
nutrients_d0_h3,nutrients,1086.4,thriving,#00FF7F,9.6,-22.0,-2.1,22.1,3.236,3
air_quality_d0_h3,air_quality,17.9,stable,#C71585,8.1,3.4,-36.1,36.2,4.807,3
light_d0_h4,light,40.0,critical,#DC143C,7.2,30.4,3.8,30.6,0.126,4
humidity_d0_h4,humidity,68.2,stable,#20B2AA,6.2,-3.7,29.6,29.8,1.696,4
nutrients_d0_h4,nutrients,1106.7,thriving,#00FF7F,9.0,-34.0,-4.3,34.3,3.267,4
air_quality_d0_h4,air_quality,34.7,critical,#8A2BE2,6.3,4.3,-33.9,34.2,4.838,4
light_d0_h5,light,40.0,critical,#DC143C,9.7,25.4,4.0,25.7,0.157,5
humidity_d0_h5,humidity,61.2,thriving,#00FFFF,8.6,-6.4,40.4,40.9,1.728,5
nutrients_d0_h5,nutrients,1091.8,thriving,#00FF7F,6.1,-44.2,-7.0,44.7,3.299,5
air_quality_d0_h5,air_quality,14.3,thriving,#FF69B4,8.9,4.5,-28.7,29.1,4.869,5
light_d0_h6,light,200.0,stressed,#FF4500,7.5,40.7,7.8,41.4,0.188,6
humidity_d0_h6,humidity,60.6,thriving,#00FFFF,9.9,-6.9,36.0,36.7,1.759,6
nutrients_d0_h6,nutrients,1108.7,thriving,#00FF7F,9.3,-31.1,-5.9,31.7,3.330,6
air_quality_d0_h6,air_quality,13.8,thriving,#FF69B4,6.4,5.3,-27.5,28.0,4.901,6
light_d0_h7,light,339.8,concerned,#FF6347,9.1,40.6,9.1,41.6,0.220,7
humidity_d0_h7,humidity,55.1,content,#00CED1,6.0,-8.7,38.7,39.7,1.791,7
nutrients_d0_h7,nutrients,1105.0,thriving,#00FF7F,8.9,-43.7,-9.8,44.8,3.362,7
air_quality_d0_h7,air_quality,18.9,concerned,#DA70D6,9.1,10.9,-48.5,49.7,4.932,7
light_d0_h8,light,470.0,content,#FFA500,8.7,52.3,13.4,54.0,0.251,8
humidity_d0_h8,humidity,53.1,stable,#20B2AA,8.9,-9.9,38.4,39.6,1.822,8
nutrients_d0_h8,nutrients,1093.6,thriving,#00FF7F,6.7,-33.3,-8.5,34.4,3.393,8
air_quality_d0_h8,air_quality,13.5,thriving,#FF69B4,8.3,12.2,-47.6,49.2,4.964,8
light_d0_h9,light,581.8,stable,#FF8C00,8.7,37.0,10.8,38.6,0.283,9
humidity_d0_h9,humidity,56.0,content,#00CED1,7.8,-14.1,48.5,50.5,1.854,9
nutrients_d0_h9,nutrients,1100.0,thriving,#00FF7F,6.6,-54.5,-15.8,56.8,3.424,9
air_quality_d0_h9,air_quality,16.8,stable,#C71585,8.5,10.9,-37.5,39.0,4.995,9
light_d0_h10,light,667.7,concerned,#FF6347,6.9,53.0,17.2,55.7,0.314,10
humidity_d0_h10,humidity,53.4,stable,#20B2AA,9.0,-14.4,44.4,46.7,1.885,10
nutrients_d0_h10,nutrients,1087.3,thriving,#00FF7F,6.8,-41.3,-13.4,43.4,3.456,10
air_quality_d0_h10,air_quality,11.6,thriving,#FF69B4,8.3,18.0,-55.5,58.3,5.027,10
light_d0_h11,light,721.6,stressed,#FF4500,9.8,48.9,17.6,52.0,0.346,11
humidity_d0_h11,humidity,53.3,stable,#20B2AA,9.6,-15.1,42.0,44.6,1.916,11
nutrients_d0_h11,nutrients,1305.9,stable,#90EE90,6.6,-49.4,-17.8,52.5,3.487,11
air_quality_d0_h11,air_quality,15.8,content,#FF1493,8.2,20.5,-56.8,60.4,5.058,11
light_d0_h12,light,740.0,stressed,#FF4500,6.6,43.1,17.1,46.4,0.377,12
humidity_d0_h12,humidity,47.6,stable,#20B2AA,7.2,-17.8,44.9,48.3,1.948,12
nutrients_d0_h12,nutrients,1347.3,stable,#90EE90,8.1,-52.7,-20.9,56.7,3.519,12
air_quality_d0_h12,air_quality,23.1,stressed,#9370DB,7.4,18.6,-47.0,50.6,5.089,12
light_d0_h13,light,721.6,stressed,#FF4500,7.5,61.8,26.8,67.4,0.408,13
humidity_d0_h13,humidity,49.4,stable,#20B2AA,8.7,-24.5,56.6,61.7,1.979,13
nutrients_d0_h13,nutrients,1098.4,thriving,#00FF7F,8.1,-56.3,-24.4,61.3,3.550,13
air_quality_d0_h13,air_quality,16.3,content,#FF1493,8.7,20.8,-48.2,52.5,5.121,13
light_d0_h14,light,667.7,concerned,#FF6347,8.6,65.0,30.6,71.9,0.440,14
humidity_d0_h14,humidity,52.9,stable,#20B2AA,7.5,-27.4,58.2,64.3,2.011,14
nutrients_d0_h14,nutrients,1087.9,thriving,#00FF7F,8.4,-50.3,-23.7,55.6,3.581,14
