id,sensor_type,reading_value,health_state,color,color_with_alpha,size,week,crisis_level,plant_condition,time_hour,opacity,velocity_x,velocity_y,force_strength,movement_pattern,oscillation_speed,emotional_state
light_h0,light,52.44,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,LIGHT_HEALTHY_52,0,0.05,0.5,0,0.3,gentle_orbit,0.5,healthy_motion
humidity_h0,humidity,73.5,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,HUMIDITY_MONITORING_74,0,0.05,0,0.8,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h0,nutrients,22.44,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_22,0,0.05,-0.5,0,0.3,gentle_orbit,0.5,healthy_motion
ph_h0,ph,6.64,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,0,0.05,0,-0.5,0.3,gentle_orbit,0.5,healthy_motion
light_h4,light,69.63,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,LIGHT_MONITORING_70,4,0.05,0.794,0.096,0.6,cautious_circle,1.5,monitoring_motion
humidity_h4,humidity,67.81,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,HUMIDITY_HEALTHY_68,4,0.05,-0.02,0.5,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h4,nutrients,25.4,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_25,4,0.05,-0.5,-0.02,0.3,gentle_orbit,0.5,healthy_motion
ph_h4,ph,6.67,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,4,0.05,0.02,-0.5,0.3,gentle_orbit,0.5,healthy_motion
light_h8,light,80.67,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,LIGHT_MONITORING_81,8,0.05,0.777,0.19,0.6,cautious_circle,1.5,monitoring_motion
humidity_h8,humidity,52.45,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,HUMIDITY_HEALTHY_52,8,0.05,-0.04,0.498,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h8,nutrients,23.55,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_24,8,0.05,-0.498,-0.04,0.3,gentle_orbit,0.5,healthy_motion
ph_h8,ph,6.74,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,8,0.05,0.04,-0.498,0.3,gentle_orbit,0.5,healthy_motion
light_h12,light,46.83,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,LIGHT_HEALTHY_47,12,0.05,0.496,0.06,0.3,gentle_orbit,0.5,healthy_motion
humidity_h12,humidity,43.26,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,HUMIDITY_MONITORING_43,12,0.05,-0.282,0.749,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h12,nutrients,22.09,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_22,12,0.05,-0.496,-0.06,0.3,gentle_orbit,0.5,healthy_motion
ph_h12,ph,6.66,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,12,0.05,0.06,-0.496,0.3,gentle_orbit,0.5,healthy_motion
light_h16,light,33.27,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,LIGHT_MONITORING_33,16,0.05,0.71,0.369,0.6,cautious_circle,1.5,monitoring_motion
humidity_h16,humidity,56.76,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,HUMIDITY_HEALTHY_57,16,0.05,-0.08,0.494,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h16,nutrients,23.03,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_23,16,0.05,-0.494,-0.08,0.3,gentle_orbit,0.5,healthy_motion
ph_h16,ph,6.41,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_6,16,0.05,0.08,-0.494,0.3,gentle_orbit,0.5,healthy_motion
light_h20,light,26.79,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,LIGHT_MONITORING_27,20,0.05,0.66,0.452,0.6,cautious_circle,1.5,monitoring_motion
humidity_h20,humidity,64.32,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,HUMIDITY_HEALTHY_64,20,0.05,-0.099,0.49,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h20,nutrients,22.93,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_23,20,0.05,-0.49,-0.099,0.3,gentle_orbit,0.5,healthy_motion
ph_h20,ph,6.57,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,20,0.05,0.099,-0.49,0.3,gentle_orbit,0.5,healthy_motion
light_h24,light,58.72,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,LIGHT_HEALTHY_59,24,0.05,0.486,0.119,0.3,gentle_orbit,0.5,healthy_motion
humidity_h24,humidity,71.57,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,HUMIDITY_MONITORING_72,24,0.05,-0.528,0.601,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h24,nutrients,27.59,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_28,24,0.05,-0.486,-0.119,0.3,gentle_orbit,0.5,healthy_motion
ph_h24,ph,6.7,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,24,0.05,0.119,-0.486,0.3,gentle_orbit,0.5,healthy_motion
light_h28,light,76.38,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,LIGHT_MONITORING_76,28,0.05,0.534,0.596,0.6,cautious_circle,1.5,monitoring_motion
humidity_h28,humidity,62.6,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,HUMIDITY_HEALTHY_63,28,0.05,-0.138,0.481,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h28,nutrients,26.66,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_27,28,0.05,-0.481,-0.138,0.3,gentle_orbit,0.5,healthy_motion
ph_h28,ph,6.63,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_7,28,0.05,0.138,-0.481,0.3,gentle_orbit,0.5,healthy_motion
light_h32,light,69.44,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,LIGHT_MONITORING_69,32,0.05,0.459,0.655,0.6,cautious_circle,1.5,monitoring_motion
humidity_h32,humidity,50,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,HUMIDITY_MONITORING_50,32,0.05,-0.655,0.459,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h32,nutrients,26.83,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_27,32,0.05,-0.475,-0.157,0.3,gentle_orbit,0.5,healthy_motion
ph_h32,ph,6.28,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_6,32,0.05,0.157,-0.475,0.3,gentle_orbit,0.5,healthy_motion
light_h36,light,50.71,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,LIGHT_HEALTHY_51,36,0.05,0.468,0.176,0.3,gentle_orbit,0.5,healthy_motion
humidity_h36,humidity,42.84,MONITORING,#0088FF,#0088FF0D,8,1,WATCH,HUMIDITY_MONITORING_43,36,0.05,-0.706,0.377,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h36,nutrients,26.76,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,NUTRIENTS_HEALTHY_27,36,0.05,-0.468,-0.176,0.3,gentle_orbit,0.5,healthy_motion
ph_h36,ph,6.32,HEALTHY,#00FF00,#00FF000D,10,1,GOOD,PH_HEALTHY_6,36,0.05,0.176,-0.468,0.3,gentle_orbit,0.5,healthy_motion
light_h40,light,32.2,MONITORING,#0088FF,#0088FF0E,8,1,WATCH,LIGHT_MONITORING_32,40,0.06,0.29,0.746,0.6,cautious_circle,1.5,monitoring_motion
humidity_h40,humidity,52.74,HEALTHY,#00FF00,#00FF000E,10,1,GOOD,HUMIDITY_HEALTHY_53,40,0.06,-0.195,0.461,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h40,nutrients,26.69,HEALTHY,#00FF00,#00FF000E,10,1,GOOD,NUTRIENTS_HEALTHY_27,40,0.06,-0.461,-0.195,0.3,gentle_orbit,0.5,healthy_motion
ph_h40,ph,6.23,HEALTHY,#00FF00,#00FF000E,10,1,GOOD,PH_HEALTHY_6,40,0.06,0.195,-0.461,0.3,gentle_orbit,0.5,healthy_motion
light_h44,light,24.67,MONITORING,#0088FF,#0088FF10,8,1,WATCH,LIGHT_MONITORING_25,44,0.06,0.199,0.775,0.6,cautious_circle,1.5,monitoring_motion
humidity_h44,humidity,62.42,HEALTHY,#00FF00,#00FF0010,10,1,GOOD,HUMIDITY_HEALTHY_62,44,0.06,-0.213,0.452,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h44,nutrients,22.73,HEALTHY,#00FF00,#00FF0010,10,1,GOOD,NUTRIENTS_HEALTHY_23,44,0.06,-0.452,-0.213,0.3,gentle_orbit,0.5,healthy_motion
ph_h44,ph,6.24,HEALTHY,#00FF00,#00FF0010,10,1,GOOD,PH_HEALTHY_6,44,0.06,0.213,-0.452,0.3,gentle_orbit,0.5,healthy_motion
light_h48,light,61.01,HEALTHY,#00FF00,#00FF0011,10,1,GOOD,LIGHT_HEALTHY_61,48,0.07,0.443,0.231,0.3,gentle_orbit,0.5,healthy_motion
humidity_h48,humidity,77.65,MONITORING,#0088FF,#0088FF11,8,1,WATCH,HUMIDITY_MONITORING_78,48,0.07,-0.793,0.104,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h48,nutrients,24.85,HEALTHY,#00FF00,#00FF0011,10,1,GOOD,NUTRIENTS_HEALTHY_25,48,0.07,-0.443,-0.231,0.3,gentle_orbit,0.5,healthy_motion
ph_h48,ph,6.43,HEALTHY,#00FF00,#00FF0011,10,1,GOOD,PH_HEALTHY_6,48,0.07,0.231,-0.443,0.3,gentle_orbit,0.5,healthy_motion
light_h52,light,77.39,MONITORING,#0088FF,#0088FF12,8,1,WATCH,LIGHT_MONITORING_77,52,0.07,0.009,0.8,0.6,cautious_circle,1.5,monitoring_motion
humidity_h52,humidity,64.65,HEALTHY,#00FF00,#00FF0012,10,1,GOOD,HUMIDITY_HEALTHY_65,52,0.07,-0.248,0.434,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h52,nutrients,27.62,HEALTHY,#00FF00,#00FF0012,10,1,GOOD,NUTRIENTS_HEALTHY_28,52,0.07,-0.434,-0.248,0.3,gentle_orbit,0.5,healthy_motion
ph_h52,ph,6.76,HEALTHY,#00FF00,#00FF0012,10,1,GOOD,PH_HEALTHY_7,52,0.07,0.248,-0.434,0.3,gentle_orbit,0.5,healthy_motion
light_h56,light,70.15,MONITORING,#0088FF,#0088FF14,8,1,WATCH,LIGHT_MONITORING_70,56,0.08,-0.087,0.795,0.6,cautious_circle,1.5,monitoring_motion
humidity_h56,humidity,50.43,MONITORING,#0088FF,#0088FF14,8,1,WATCH,HUMIDITY_MONITORING_50,56,0.08,-0.795,-0.087,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h56,nutrients,26.58,HEALTHY,#00FF00,#00FF0014,10,1,GOOD,NUTRIENTS_HEALTHY_27,56,0.08,-0.424,-0.266,0.3,gentle_orbit,0.5,healthy_motion
ph_h56,ph,6.76,HEALTHY,#00FF00,#00FF0014,10,1,GOOD,PH_HEALTHY_7,56,0.08,0.266,-0.424,0.3,gentle_orbit,0.5,healthy_motion
light_h60,light,61.83,HEALTHY,#00FF00,#00FF0015,10,1,GOOD,LIGHT_HEALTHY_62,60,0.08,0.413,0.282,0.3,gentle_orbit,0.5,healthy_motion
humidity_h60,humidity,44.32,MONITORING,#0088FF,#0088FF15,8,1,WATCH,HUMIDITY_MONITORING_44,60,0.08,-0.779,-0.182,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h60,nutrients,27.78,HEALTHY,#00FF00,#00FF0015,10,1,GOOD,NUTRIENTS_HEALTHY_28,60,0.08,-0.413,-0.282,0.3,gentle_orbit,0.5,healthy_motion
ph_h60,ph,6.54,HEALTHY,#00FF00,#00FF0015,10,1,GOOD,PH_HEALTHY_7,60,0.08,0.282,-0.413,0.3,gentle_orbit,0.5,healthy_motion
light_h64,light,34.42,MONITORING,#0088FF,#0088FF17,8,1,WATCH,LIGHT_MONITORING_34,64,0.09,-0.274,0.752,0.6,cautious_circle,1.5,monitoring_motion
humidity_h64,humidity,53.69,HEALTHY,#00FF00,#00FF0017,10,1,GOOD,HUMIDITY_HEALTHY_54,64,0.09,-0.299,0.401,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h64,nutrients,26.22,HEALTHY,#00FF00,#00FF0017,10,1,GOOD,NUTRIENTS_HEALTHY_26,64,0.09,-0.401,-0.299,0.3,gentle_orbit,0.5,healthy_motion
ph_h64,ph,6.32,HEALTHY,#00FF00,#00FF0017,10,1,GOOD,PH_HEALTHY_6,64,0.09,0.299,-0.401,0.3,gentle_orbit,0.5,healthy_motion
light_h68,light,35.98,MONITORING,#0088FF,#0088FF18,8,1,WATCH,LIGHT_MONITORING_36,68,0.09,-0.362,0.714,0.6,cautious_circle,1.5,monitoring_motion
humidity_h68,humidity,63.84,HEALTHY,#00FF00,#00FF0018,10,1,GOOD,HUMIDITY_HEALTHY_64,68,0.09,-0.314,0.389,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h68,nutrients,22.02,HEALTHY,#00FF00,#00FF0018,10,1,GOOD,NUTRIENTS_HEALTHY_22,68,0.09,-0.389,-0.314,0.3,gentle_orbit,0.5,healthy_motion
ph_h68,ph,6.67,HEALTHY,#00FF00,#00FF0018,10,1,GOOD,PH_HEALTHY_7,68,0.09,0.314,-0.389,0.3,gentle_orbit,0.5,healthy_motion
light_h72,light,60.01,HEALTHY,#00FF00,#00FF001A,10,1,GOOD,LIGHT_HEALTHY_60,72,0.1,0.376,0.33,0.3,gentle_orbit,0.5,healthy_motion
humidity_h72,humidity,67.41,HEALTHY,#00FF00,#00FF001A,10,1,GOOD,HUMIDITY_HEALTHY_67,72,0.1,-0.33,0.376,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h72,nutrients,23.71,HEALTHY,#00FF00,#00FF001A,10,1,GOOD,NUTRIENTS_HEALTHY_24,72,0.1,-0.376,-0.33,0.3,gentle_orbit,0.5,healthy_motion
ph_h72,ph,6.31,HEALTHY,#00FF00,#00FF001A,10,1,GOOD,PH_HEALTHY_6,72,0.1,0.33,-0.376,0.3,gentle_orbit,0.5,healthy_motion
light_h76,light,79.39,MONITORING,#0088FF,#0088FF1B,8,1,WATCH,LIGHT_MONITORING_79,76,0.11,-0.521,0.607,0.6,cautious_circle,1.5,monitoring_motion
